Order Date,Requested Delivery Date,Customer Country Code,Product Code,Description,Order Type,Customer Order Code,Value,Currency,Items,Route
25.02.2023,11.05.2023,FR,P0055,Product 55,VO,ORD000018,563.75,RUB,68,R05
26.02.2023,28.04.2023,RU,P0056,Product 56,VO,ORD000018,1287.36,USD,31,R06
27.02.2023,02.05.2023,FR,P0057,Product 57,VO,ORD000019,845.63,RUB,40,R07
28.02.2023,14.04.2023,IT,P0058,Product 58,VO,ORD000019,1090.77,EUR,46,R08
01.03.2023,12.07.2023,US,P0059,Product 59,VO,ORD000019,167.27,EUR,34,R09
02.03.2023,02.08.2023,ES,P0060,Product 60,VO,ORD000020,1289.23,USD,49,R10
03.03.2023,18.06.2023,NL,P0061,Product 61,VO,ORD000020,1015.68,RUB,17,R11
04.03.2023,28.08.2023,FR,P0062,Product 62,VO,ORD000020,1015.76,EUR,75,R12
05.03.2023,13.08.2023,FR,P0063,Product 63,VO,ORD000021,1694.79,USD,43,R13
06.03.2023,09.08.2023,RU,P0064,Product 64,VO,ORD000021,1308.8,USD,69,R14
07.03.2023,17.05.2023,NL,P0065,Product 65,VO,ORD000021,514.52,GBP,64,R15
08.03.2023,06.08.2023,FR,P0066,Product 66,VO,ORD000022,363.97,EUR,20,R16
09.03.2023,16.06.2023,FI,P0067,Product 67,VO,ORD000022,302.9,USD,33,R17
10.03.2023,26.05.2023,FI,P0068,Product 68,VO,ORD000022,587.36,RUB,37,R18
11.03.2023,09.06.2023,US,P0069,Product 69,VO,ORD000023,1845.19,USD,49,R19
12.03.2023,06.08.2023,DE,P0070,Product 70,VO,ORD000023,779.48,EUR,63,R20
13.03.2023,14.08.2023,SE,P0071,Product 71,VO,ORD000023,1034.45,EUR,98,R21
14.03.2023,19.07.2023,PL,P0072,Product 72,VO,ORD000024,664.61,GBP,90,R22
15.03.2023,01.05.2023,ES,P0073,Product 73,VO,ORD000024,1825.7,GBP,85,R23
16.03.2023,15.08.2023,US,P0074,Product 74,VO,ORD000024,1839.62,EUR,1,R24
17.03.2023,21.07.2023,FR,P0075,Product 75,VO,ORD000025,1430.71,GBP,82,R25
18.03.2023,26.04.2023,IT,P0076,Product 76,VO,ORD000025,1443.44,USD,68,R26
19.03.2023,03.05.2023,US,P0077,Product 77,VO,ORD000025,145.13,EUR,62,R27
20.03.2023,15.08.2023,DE,P0078,Product 78,VO,ORD000026,1059.87,EUR,19,R28
21.03.2023,26.05.2023,PL,P0079,Product 79,VO,ORD000026,745.25,RUB,12,R29
22.03.2023,10.08.2023,FI,P0080,Product 80,VO,ORD000026,1928.04,USD,50,R30
23.03.2023,07.08.2023,SE,P0081,Product 81,VO,ORD000027,164.27,EUR,52,R31
24.03.2023,24.05.2023,NL,P0082,Product 82,VO,ORD000027,1515.82,EUR,98,R32
25.03.2023,31.05.2023,FI,P0083,Product 83,VO,ORD000027,634.88,RUB,15,R33
26.03.2023,28.07.2023,FI,P0084,Product 84,VO,ORD000028,1077.72,USD,67,R34
27.03.2023,05.07.2023,IT,P0085,Product 85,VO,ORD000028,1274.13,GBP,40,R35
28.03.2023,02.06.2023,FI,P0086,Product 86,VO,ORD000028,383.37,RUB,36,R36
29.03.2023,30.07.2023,IT,P0087,Product 87,VO,ORD000029,462.64,GBP,3,R37
30.03.2023,22.05.2023,FI,P0088,Product 88,VO,ORD000029,1879.7,RUB,38,R38
31.03.2023,01.08.2023,DE,P0089,Product 89,VO,ORD000029,1834.69,USD,64,R39
01.04.2023,15.05.2023,US,P0090,Product 90,VO,ORD000030,1824.31,RUB,93,R40
02.04.2023,07.07.2023,RU,P0091,Product 91,VO,ORD000030,571.61,EUR,44,R41
03.04.2023,29.05.2023,IT,P0092,Product 92,VO,ORD000030,1774.34,EUR,43,R42
04.04.2023,17.08.2023,FI,P0093,Product 93,VO,ORD000031,1913.0,USD,7,R43
05.04.2023,07.05.2023,FR,P0094,Product 94,VO,ORD000031,1247.7,GBP,99,R44
06.04.2023,10.06.2023,NL,P0095,Product 95,VO,ORD000031,1756.92,EUR,23,R45
07.04.2023,14.09.2023,FI,P0096,Product 96,VO,ORD000032,1307.89,USD,92,R46
08.04.2023,19.08.2023,IT,P0097,Product 97,VO,ORD000032,1020.53,GBP,78,R47
09.04.2023,30.09.2023,ES,P0098,Product 98,VO,ORD000032,1401.36,EUR,7,R48
10.04.2023,25.08.2023,ES,P0099,Product 99,VO,ORD000033,149.02,GBP,57,R49
11.04.2023,27.07.2023,ES,P0100,Product 100,VO,ORD000033,564.07,RUB,63,R00
12.04.2023,01.06.2023,SE,P0101,Product 101,VO,ORD000033,549.21,GBP,2,R01
13.04.2023,11.06.2023,ES,P0102,Product 102,VO,ORD000034,1272.82,GBP,89,R02
14.04.2023,19.08.2023,IT,P0103,Product 103,VO,ORD000034,540.61,RUB,87,R03
15.04.2023,03.10.2023,NL,P0104,Product 104,VO,ORD000034,1333.35,RUB,4,R04
16.04.2023,30.08.2023,DE,P0105,Product 105,VO,ORD000035,249.83,USD,64,R05
17.04.2023,06.09.2023,DE,P0106,Product 106,VO,ORD000035,162.92,EUR,88,R06
18.04.2023,17.07.2023,RU,P0107,Product 107,VO,ORD000035,1612.56,RUB,15,R07
19.04.2023,16.08.2023,NL,P0108,Product 108,VO,ORD000036,116.71,RUB,93,R08
20.04.2023,24.08.2023,RU,P0109,Product 109,VO,ORD000036,1690.06,EUR,45,R09
21.04.2023,10.09.2023,PL,P0110,Product 110,VO,ORD000036,1743.28,USD,34,R10
22.04.2023,30.05.2023,IT,P0111,Product 111,VO,ORD000037,665.9,EUR,88,R11
23.04.2023,28.06.2023,SE,P0112,Product 112,VO,ORD000037,1778.34,USD,67,R12
24.04.2023,11.08.2023,RU,P0113,Product 113,VO,ORD000037,964.8,USD,94,R13
25.04.2023,08.10.2023,US,P0114,Product 114,VO,ORD000038,984.95,USD,92,R14
26.04.2023,14.08.2023,NL,P0115,Product 115,VO,ORD000038,296.76,RUB,29,R15
27.04.2023,30.08.2023,IT,P0116,Product 116,VO,ORD000038,386.94,GBP,45,R16
28.04.2023,22.07.2023,SE,P0117,Product 117,VO,ORD000039,1095.21,RUB,56,R17
29.04.2023,16.06.2023,DE,P0118,Product 118,VO,ORD000039,1838.6,GBP,28,R18
30.04.2023,18.10.2023,SE,P0119,Product 119,VO,ORD000039,833.26,RUB,46,R19
01.05.2023,01.10.2023,DE,P0120,Product 120,VO,ORD000040,1129.95,GBP,37,R20
02.05.2023,24.06.2023,DE,P0121,Product 121,VO,ORD000040,1600.43,RUB,82,R21
03.05.2023,18.07.2023,PL,P0122,Product 122,VO,ORD000040,1775.84,EUR,84,R22
04.05.2023,29.10.2023,NL,P0123,Product 123,VO,ORD000041,1593.67,USD,81,R23
05.05.2023,09.10.2023,IT,P0124,Product 124,VO,ORD000041,727.52,RUB,61,R24
06.05.2023,03.07.2023,NL,P0125,Product 125,VO,ORD000041,370.13,RUB,21,R25
07.05.2023,15.06.2023,US,P0126,Product 126,VO,ORD000042,593.25,GBP,78,R26
08.05.2023,07.06.2023,RU,P0127,Product 127,VO,ORD000042,1040.09,RUB,68,R27
09.05.2023,31.07.2023,NL,P0128,Product 128,VO,ORD000042,893.68,RUB,32,R28
10.05.2023,22.07.2023,IT,P0129,Product 129,VO,ORD000043,1345.45,USD,43,R29
11.05.2023,02.07.2023,ES,P0130,Product 130,VO,ORD000043,1261.69,RUB,25,R30
12.05.2023,09.08.2023,DE,P0131,Product 131,VO,ORD000043,323.88,GBP,38,R31
13.05.2023,02.10.2023,DE,P0132,Product 132,VO,ORD000044,1475.89,RUB,28,R32
14.05.2023,20.06.2023,PL,P0133,Product 133,VO,ORD000044,406.09,EUR,59,R33
15.05.2023,14.06.2023,SE,P0134,Product 134,VO,ORD000044,773.66,GBP,32,R34
16.05.2023,06.07.2023,FI,P0135,Product 135,VO,ORD000045,1711.86,RUB,91,R35
17.05.2023,27.06.2023,US,P0136,Product 136,VO,ORD000045,683.0,GBP,14,R36
18.05.2023,02.09.2023,FR,P0137,Product 137,VO,ORD000045,1918.36,RUB,23,R37
19.05.2023,13.10.2023,IT,P0138,Product 138,VO,ORD000046,610.87,GBP,72,R38
20.05.2023,30.08.2023,US,P0139,Product 139,VO,ORD000046,884.74,GBP,92,R39
21.05.2023,23.08.2023,US,P0140,Product 140,VO,ORD000046,365.93,EUR,85,R40
22.05.2023,06.09.2023,RU,P0141,Product 141,VO,ORD000047,1138.82,GBP,89,R41
23.05.2023,15.10.2023,SE,P0142,Product 142,VO,ORD000047,1419.64,USD,83,R42
24.05.2023,21.08.2023,DE,P0143,Product 143,VO,ORD000047,1218.86,USD,1,R43
25.05.2023,15.08.2023,PL,P0144,Product 144,VO,ORD000048,1933.41,RUB,5,R44
26.05.2023,21.11.2023,DE,P0145,Product 145,VO,ORD000048,1454.86,EUR,40,R45
27.05.2023,05.09.2023,PL,P0146,Product 146,VO,ORD000048,1600.52,EUR,83,R46
28.05.2023,17.07.2023,SE,P0147,Product 147,VO,ORD000049,1318.29,GBP,40,R47
29.05.2023,01.11.2023,NL,P0148,Product 148,VO,ORD000049,102.23,EUR,69,R48
30.05.2023,29.08.2023,FR,P0149,Product 149,VO,ORD000049,151.14,RUB,72,R49
31.05.2023,03.11.2023,SE,P0150,Product 150,VO,ORD000050,1828.7,GBP,98,R00
01.06.2023,29.10.2023,RU,P0151,Product 151,VO,ORD000050,247.63,GBP,64,R01
02.06.2023,05.09.2023,US,P0152,Product 152,VO,ORD000050,1501.28,EUR,14,R02
03.06.2023,11.08.2023,US,P0153,Product 153,VO,ORD000051,799.99,EUR,28,R03
04.06.2023,12.10.2023,SE,P0154,Product 154,VO,ORD000051,461.96,EUR,73,R04
05.06.2023,16.08.2023,RU,P0155,Product 155,VO,ORD000051,535.13,USD,95,R05
06.06.2023,08.08.2023,DE,P0156,Product 156,VO,ORD000052,1949.97,RUB,44,R06
07.06.2023,18.07.2023,US,P0157,Product 157,VO,ORD000052,1049.81,GBP,8,R07
08.06.2023,02.12.2023,FI,P0158,Product 158,VO,ORD000052,1603.82,GBP,63,R08
09.06.2023,11.10.2023,PL,P0159,Product 159,VO,ORD000053,143.48,USD,65,R09
10.06.2023,04.08.2023,PL,P0160,Product 160,VO,ORD000053,1101.43,GBP,59,R10
11.06.2023,17.11.2023,SE,P0161,Product 161,VO,ORD000053,652.13,EUR,52,R11
12.06.2023,30.11.2023,PL,P0162,Product 162,VO,ORD000054,610.06,EUR,79,R12
13.06.2023,17.07.2023,RU,P0163,Product 163,VO,ORD000054,1668.45,RUB,13,R13
14.06.2023,27.11.2023,NL,P0164,Product 164,VO,ORD000054,1075.7,GBP,1,R14
15.06.2023,01.08.2023,US,P0165,Product 165,VO,ORD000055,377.94,RUB,14,R15
16.06.2023,16.09.2023,DE,P0166,Product 166,VO,ORD000055,1686.22,RUB,98,R16
17.06.2023,20.09.2023,DE,P0167,Product 167,VO,ORD000055,1301.68,RUB,54,R17
18.06.2023,09.11.2023,FR,P0168,Product 168,VO,ORD000056,1693.86,USD,9,R18
19.06.2023,12.11.2023,FR,P0169,Product 169,VO,ORD000056,772.34,RUB,64,R19
20.06.2023,11.10.2023,NL,P0170,Product 170,VO,ORD000056,1778.97,GBP,28,R20
21.06.2023,28.09.2023,FI,P0171,Product 171,VO,ORD000057,864.04,EUR,43,R21
22.06.2023,23.08.2023,PL,P0172,Product 172,VO,ORD000057,658.11,EUR,62,R22
23.06.2023,25.08.2023,FI,P0173,Product 173,VO,ORD000057,439.81,EUR,21,R23
24.06.2023,18.11.2023,RU,P0174,Product 174,VO,ORD000058,847.56,GBP,42,R24
25.06.2023,10.08.2023,SE,P0175,Product 175,VO,ORD000058,587.29,USD,39,R25
26.06.2023,27.08.2023,FI,P0176,Product 176,VO,ORD000058,406.89,USD,69,R26
27.06.2023,15.08.2023,NL,P0177,Product 177,VO,ORD000059,147.02,GBP,38,R27
28.06.2023,07.09.2023,SE,P0178,Product 178,VO,ORD000059,228.96,USD,61,R28
29.06.2023,20.11.2023,US,P0179,Product 179,VO,ORD000059,212.49,EUR,33,R29
30.06.2023,30.11.2023,DE,P0180,Product 180,VO,ORD000060,1636.58,GBP,63,R30
01.07.2023,17.08.2023,FI,P0181,Product 181,VO,ORD000060,1163.55,USD,41,R31
02.07.2023,16.08.2023,PL,P0182,Product 182,VO,ORD000060,1093.78,EUR,91,R32
03.07.2023,02.08.2023,FI,P0183,Product 183,VO,ORD000061,819.19,EUR,69,R33
04.07.2023,13.10.2023,FI,P0184,Product 184,VO,ORD000061,1749.82,RUB,62,R34
05.07.2023,03.12.2023,DE,P0185,Product 185,VO,ORD000061,1504.16,RUB,60,R35
06.07.2023,19.12.2023,FR,P0186,Product 186,VO,ORD000062,1648.36,GBP,57,R36
07.07.2023,16.09.2023,SE,P0187,Product 187,VO,ORD000062,1380.85,USD,45,R37
08.07.2023,21.09.2023,DE,P0188,Product 188,VO,ORD000062,127.62,GBP,66,R38
09.07.2023,27.08.2023,FI,P0189,Product 189,VO,ORD000063,222.03,EUR,23,R39
10.07.2023,17.08.2023,FI,P0190,Product 190,VO,ORD000063,938.07,GBP,4,R40
11.07.2023,27.09.2023,NL,P0191,Product 191,VO,ORD000063,1452.15,RUB,7,R41
12.07.2023,27.08.2023,FI,P0192,Product 192,VO,ORD000064,1609.41,EUR,85,R42
13.07.2023,16.11.2023,DE,P0193,Product 193,VO,ORD000064,1012.02,EUR,74,R43
14.07.2023,15.09.2023,IT,P0194,Product 194,VO,ORD000064,1409.51,GBP,55,R44
15.07.2023,25.08.2023,FI,P0195,Product 195,VO,ORD000065,1555.94,GBP,43,R45
16.07.2023,07.10.2023,FI,P0196,Product 196,VO,ORD000065,1463.77,GBP,10,R46
17.07.2023,17.08.2023,FR,P0197,Product 197,VO,ORD000065,425.68,USD,27,R47
18.07.2023,04.09.2023,US,P0198,Product 198,VO,ORD000066,1722.14,USD,75,R48
19.07.2023,05.12.2023,DE,P0199,Product 199,VO,ORD000066,272.5,EUR,46,R49
20.07.2023,12.09.2023,PL,P0200,Product 200,VO,ORD000066,595.83,EUR,69,R00
21.07.2023,25.12.2023,US,P0201,Product 201,VO,ORD000067,624.15,GBP,9,R01
22.07.2023,10.09.2023,FR,P0202,Product 202,VO,ORD000067,1232.13,EUR,96,R02
23.07.2023,21.12.2023,US,P0203,Product 203,VO,ORD000067,1471.59,EUR,50,R03
24.07.2023,11.10.2023,NL,P0204,Product 204,VO,ORD000068,1474.58,GBP,63,R04
25.07.2023,04.12.2023,DE,P0205,Product 205,VO,ORD000068,682.34,RUB,35,R05
26.07.2023,10.11.2023,NL,P0206,Product 206,VO,ORD000068,1331.55,RUB,29,R06
27.07.2023,15.11.2023,PL,P0207,Product 207,VO,ORD000069,1091.74,RUB,16,R07
28.07.2023,15.10.2023,FR,P0208,Product 208,VO,ORD000069,1727.62,RUB,86,R08
29.07.2023,27.10.2023,DE,P0209,Product 209,VO,ORD000069,250.66,EUR,85,R09
30.07.2023,24.09.2023,RU,P0210,Product 210,VO,ORD000070,419.02,GBP,35,R10
31.07.2023,14.09.2023,FI,P0211,Product 211,VO,ORD000070,633.93,GBP,94,R11
01.08.2023,17.10.2023,SE,P0212,Product 212,VO,ORD000070,1581.08,RUB,73,R12
02.08.2023,24.10.2023,FR,P0213,Product 213,VO,ORD000071,1269.33,GBP,12,R13
03.08.2023,29.01.2024,PL,P0214,Product 214,VO,ORD000071,385.97,EUR,37,R14
04.08.2023,11.09.2023,ES,P0215,Product 215,VO,ORD000071,871.53,RUB,33,R15
05.08.2023,14.12.2023,FI,P0216,Product 216,VO,ORD000072,1344.75,EUR,3,R16
06.08.2023,31.10.2023,FI,P0217,Product 217,VO,ORD000072,843.01,RUB,30,R17
07.08.2023,04.11.2023,FR,P0218,Product 218,VO,ORD000072,147.81,EUR,29,R18
08.08.2023,10.12.2023,RU,P0219,Product 219,VO,ORD000073,322.73,GBP,2,R19
09.08.2023,25.11.2023,IT,P0220,Product 220,VO,ORD000073,1160.97,USD,93,R20
10.08.2023,14.11.2023,RU,P0221,Product 221,VO,ORD000073,200.04,GBP,79,R21
11.08.2023,10.11.2023,IT,P0222,Product 222,VO,ORD000074,509.28,RUB,8,R22
12.08.2023,17.01.2024,SE,P0223,Product 223,VO,ORD000074,1517.26,GBP,45,R23
13.08.2023,22.12.2023,NL,P0224,Product 224,VO,ORD000074,264.16,EUR,3,R24
14.08.2023,01.01.2024,SE,P0225,Product 225,VO,ORD000075,1684.69,USD,23,R25
15.08.2023,24.10.2023,PL,P0226,Product 226,VO,ORD000075,968.4,GBP,81,R26
16.08.2023,07.11.2023,SE,P0227,Product 227,VO,ORD000075,102.0,EUR,53,R27
17.08.2023,11.12.2023,NL,P0228,Product 228,VO,ORD000076,1165.41,USD,79,R28
18.08.2023,02.01.2024,DE,P0229,Product 229,VO,ORD000076,592.79,RUB,43,R29
19.08.2023,20.12.2023,IT,P0230,Product 230,VO,ORD000076,242.52,RUB,34,R30
20.08.2023,15.12.2023,FI,P0231,Product 231,VO,ORD000077,446.01,USD,29,R31
21.08.2023,04.11.2023,IT,P0232,Product 232,VO,ORD000077,1582.46,USD,17,R32
22.08.2023,22.09.2023,PL,P0233,Product 233,VO,ORD000077,161.44,RUB,54,R33
23.08.2023,14.12.2023,SE,P0234,Product 234,VO,ORD000078,1469.74,RUB,72,R34
24.08.2023,09.02.2024,ES,P0235,Product 235,VO,ORD000078,206.25,RUB,62,R35
25.08.2023,13.02.2024,SE,P0236,Product 236,VO,ORD000078,1865.15,EUR,5,R36
26.08.2023,03.12.2023,RU,P0237,Product 237,VO,ORD000079,1595.47,USD,46,R37
27.08.2023,16.02.2024,FI,P0238,Product 238,VO,ORD000079,370.68,USD,53,R38
28.08.2023,15.12.2023,NL,P0239,Product 239,VO,ORD000079,940.24,GBP,38,R39
29.08.2023,27.10.2023,RU,P0240,Product 240,VO,ORD000080,803.09,USD,25,R40
30.08.2023,14.02.2024,RU,P0241,Product 241,VO,ORD000080,590.81,USD,45,R41
31.08.2023,21.11.2023,IT,P0242,Product 242,VO,ORD000080,1592.83,GBP,78,R42
01.09.2023,14.11.2023,SE,P0243,Product 243,VO,ORD000081,469.48,USD,48,R43
02.09.2023,26.10.2023,NL,P0244,Product 244,VO,ORD000081,1608.83,USD,71,R44
03.09.2023,22.11.2023,SE,P0245,Product 245,VO,ORD000081,537.01,USD,34,R45
04.09.2023,29.12.2023,FR,P0246,Product 246,VO,ORD000082,263.35,GBP,29,R46
05.09.2023,30.12.2023,IT,P0247,Product 247,VO,ORD000082,1698.08,EUR,99,R47
06.09.2023,16.12.2023,PL,P0248,Product 248,VO,ORD000082,1858.14,GBP,12,R48
07.09.2023,19.10.2023,FR,P0249,Product 249,VO,ORD000083,1652.97,RUB,5,R49
08.09.2023,25.11.2023,FR,P0250,Product 250,VO,ORD000083,426.99,USD,15,R00
09.09.2023,03.01.2024,FR,P0251,Product 251,VO,ORD000083,1545.61,USD,27,R01
10.09.2023,07.01.2024,SE,P0252,Product 252,VO,ORD000084,813.74,GBP,75,R02
11.09.2023,02.12.2023,DE,P0253,Product 253,VO,ORD000084,1924.92,GBP,65,R03
12.09.2023,29.11.2023,SE,P0254,Product 254,VO,ORD000084,719.85,RUB,86,R04
13.09.2023,25.12.2023,SE,P0255,Product 255,VO,ORD000085,1289.45,GBP,29,R05
14.09.2023,31.12.2023,PL,P0256,Product 256,VO,ORD000085,1847.04,RUB,17,R06
15.09.2023,23.11.2023,FR,P0257,Product 257,VO,ORD000085,742.39,RUB,30,R07
16.09.2023,15.11.2023,DE,P0258,Product 258,VO,ORD000086,1520.63,USD,56,R08
17.09.2023,24.12.2023,US,P0259,Product 259,VO,ORD000086,1628.72,GBP,6,R09
18.09.2023,19.11.2023,SE,P0260,Product 260,VO,ORD000086,540.32,USD,20,R10
19.09.2023,29.01.2024,IT,P0261,Product 261,VO,ORD000087,556.29,EUR,37,R11
20.09.2023,15.01.2024,PL,P0262,Product 262,VO,ORD000087,1994.88,RUB,83,R12
21.09.2023,13.11.2023,RU,P0263,Product 263,VO,ORD000087,1766.72,GBP,21,R13
22.09.2023,28.01.2024,RU,P0264,Product 264,VO,ORD000088,1121.94,EUR,68,R14
23.09.2023,19.02.2024,DE,P0265,Product 265,VO,ORD000088,165.84,EUR,23,R15
24.09.2023,03.03.2024,FR,P0266,Product 266,VO,ORD000088,458.0,RUB,89,R16
25.09.2023,21.02.2024,DE,P0267,Product 267,VO,ORD000089,1781.06,GBP,43,R17
26.09.2023,08.01.2024,FI,P0268,Product 268,VO,ORD000089,929.68,USD,1,R18
27.09.2023,03.02.2024,PL,P0269,Product 269,VO,ORD000089,1182.17,GBP,39,R19
28.09.2023,24.02.2024,NL,P0270,Product 270,VO,ORD000090,1799.76,GBP,83,R20
29.09.2023,10.01.2024,RU,P0271,Product 271,VO,ORD000090,1329.03,USD,9,R21
30.09.2023,17.01.2024,NL,P0272,Product 272,VO,ORD000090,1849.57,USD,73,R22
01.10.2023,03.02.2024,RU,P0273,Product 273,VO,ORD000091,1041.29,GBP,80,R23
02.10.2023,23.11.2023,NL,P0274,Product 274,VO,ORD000091,1063.36,EUR,73,R24
03.10.2023,29.01.2024,FR,P0275,Product 275,VO,ORD000091,1448.55,EUR,19,R25
04.10.2023,08.11.2023,PL,P0276,Product 276,VO,ORD000092,226.91,USD,43,R26
05.10.2023,24.03.2024,RU,P0277,Product 277,VO,ORD000092,1176.28,USD,20,R27
06.10.2023,04.03.2024,SE,P0278,Product 278,VO,ORD000092,948.66,GBP,70,R28
07.10.2023,30.01.2024,NL,P0279,Product 279,VO,ORD000093,1109.08,EUR,73,R29
08.10.2023,08.12.2023,RU,P0280,Product 280,VO,ORD000093,1873.78,GBP,72,R30
09.10.2023,06.02.2024,RU,P0281,Product 281,VO,ORD000093,833.64,RUB,54,R31
10.10.2023,20.03.2024,NL,P0282,Product 282,VO,ORD000094,1771.27,GBP,39,R32
11.10.2023,29.01.2024,SE,P0283,Product 283,VO,ORD000094,187.41,EUR,57,R33
12.10.2023,14.12.2023,NL,P0284,Product 284,VO,ORD000094,1275.43,RUB,31,R34
13.10.2023,02.03.2024,ES,P0285,Product 285,VO,ORD000095,861.18,EUR,44,R35
14.10.2023,11.12.2023,ES,P0286,Product 286,VO,ORD000095,1355.83,GBP,76,R36
